game_id,team,wr1_snap_share,skill_snap_share,ol_starter_share,ol_starters,season
2013_07_DEN_IND,den,1.0,0.4166666666666667,1.0,5,2013
2013_07_DEN_IND,ind,0.86,0.48200000000000004,0.9279999999999999,5,2013
2013_07_HOU_KC,hou,0.98,0.45454545454545453,0.9460000000000001,5,2013
2013_07_HOU_KC,kc,0.81,0.4116666666666667,1.0,5,2013
2013_07_MIN_NYG,min,0.85,0.4175,0.998,5,2013
2013_07_MIN_NYG,nyg,0.92,0.44636363636363635,0.9560000000000001,5,2013
2013_07_NE_NYJ,ne,0.93,0.4175,1.0,5,2013
2013_07_NE_NYJ,nyj,0.93,0.415,1.0,5,2013
2013_07_SD_JAX,jax,0.97,0.4141666666666666,1.0,5,2013
2013_07_SD_JAX,sd,0.87,0.4166666666666667,0.944,5,2013
2013_07_SEA_ARI,ari,0.96,0.44272727272727275,0.8483333333333333,6,2013
2013_07_SEA_ARI,sea,0.73,0.45363636363636367,0.968,5,2013
2013_07_SF_TEN,sf,0.66,0.40166666666666667,1.0,5,2013
2013_07_SF_TEN,ten,0.87,0.38384615384615384,1.0,5,2013
2013_07_STL_CAR,car,0.85,0.49400000000000005,1.0,5,2013
2013_07_STL_CAR,stl,0.82,0.4166666666666667,0.826,5,2013
2013_07_TB_ATL,atl,0.91,0.4083333333333334,1.0,5,2013
2013_07_TB_ATL,tb,0.99,0.37307692307692303,1.0,5,2013
2013_08_ATL_ARI,ari,0.98,0.4436363636363636,0.922,5,2013
2013_08_ATL_ARI,atl,0.89,0.4066666666666667,1.0,5,2013
2013_08_BUF_NO,buf,0.94,0.38384615384615384,1.0,5,2013
2013_08_BUF_NO,no,0.63,0.4175,0.982,5,2013
2013_08_CAR_TB,car,0.95,0.496,0.9879999999999999,5,2013
2013_08_CAR_TB,tb,0.97,0.41083333333333333,0.9879999999999999,5,2013
2013_08_CLE_KC,cle,0.93,0.45454545454545453,1.0,5,2013
2013_08_CLE_KC,kc,0.79,0.41583333333333333,0.984,5,2013
2013_08_DAL_DET,dal,0.96,0.4509090909090909,0.9120000000000001,5,2013
2013_08_DAL_DET,det,0.94,0.5,0.998,5,2013
2013_08_GB_MIN,gb,0.89,0.44636363636363635,1.0,5,2013
2013_08_GB_MIN,min,0.81,0.499,1.0,5,2013
2013_08_MIA_NE,mia,1.0,0.501,1.0,5,2013
2013_08_MIA_NE,ne,0.74,0.38384615384615384,0.942,5,2013
2013_08_NYG_PHI,nyg,0.84,0.4354545454545455,1.0,5,2013
2013_08_NYG_PHI,phi,0.95,0.4166666666666667,1.0,5,2013
2013_08_NYJ_CIN,cin,0.79,0.4116666666666667,0.898,5,2013
2013_08_NYJ_CIN,nyj,0.97,0.4166666666666667,1.0,5,2013
2013_08_PIT_OAK,oak,0.78,0.35714285714285715,1.0,5,2013
2013_08_PIT_OAK,pit,0.94,0.4390909090909091,0.7833333333333333,6,2013
2013_08_SEA_STL,sea,0.86,0.5,1.0,5,2013
2013_08_SEA_STL,stl,0.87,0.4166666666666667,0.7916666666666666,6,2013
2013_08_SF_JAX,jax,0.95,0.41583333333333333,0.9560000000000001,5,2013
2013_08_SF_JAX,sf,0.7,0.39916666666666667,0.944,5,2013
2013_08_WAS_DEN,den,0.93,0.41583333333333333,1.0,5,2013
2013_08_WAS_DEN,was,0.9,0.4166666666666667,1.0,5,2013
2013_09_ATL_CAR,atl,0.96,0.4166666666666667,1.0,5,2013
2013_09_ATL_CAR,car,0.85,0.499,0.906,5,2013
2013_09_BAL_CLE,bal,0.97,0.4527272727272727,1.0,5,2013
2013_09_BAL_CLE,cle,1.0,0.5,1.0,5,2013
2013_09_CHI_GB,chi,0.95,0.36153846153846153,1.0,5,2013
2013_09_CHI_GB,gb,0.96,0.4527272727272727,0.9019999999999999,5,2013
2013_09_CIN_MIA,cin,0.96,0.35714285714285715,1.0,5,2013
2013_09_CIN_MIA,mia,0.98,0.5355555555555556,0.9560000000000001,5,2013
2013_09_IND_HOU,hou,0.96,0.45363636363636367,0.8366666666666666,6,2013
2013_09_IND_HOU,ind,0.9,0.43818181818181823,1.0,5,2013
2013_09_KC_BUF,buf,0.96,0.38307692307692304,1.0,5,2013
2013_09_KC_BUF,kc,0.83,0.4175,1.0,5,2013
2013_09_MIN_DAL,dal,0.97,0.44909090909090904,1.0,5,2013
2013_09_MIN_DAL,min,0.9,0.41583333333333333,0.906,5,2013
2013_09_NO_NYJ,no,0.69,0.4175,1.0,5,2013
2013_09_NO_NYJ,nyj,0.87,0.496,1.0,5,2013
2013_09_PHI_OAK,oak,0.8,0.3853846153846154,0.8620000000000001,5,2013
2013_09_PHI_OAK,phi,0.73,0.45363636363636367,0.9259999999999999,5,2013
2013_09_PIT_NE,ne,0.89,0.41500000000000004,0.9960000000000001,5,2013
2013_09_PIT_NE,pit,0.95,0.44727272727272727,0.942,5,2013
2013_09_SD_WAS,sd,0.98,0.41583333333333333,1.0,5,2013
2013_09_SD_WAS,was,0.8,0.4116666666666667,1.0,5,2013
2013_09_TB_SEA,sea,0.87,0.45454545454545453,0.9279999999999999,5,2013
2013_09_TB_SEA,tb,0.99,0.4058333333333333,1.0,5,2013
2013_09_TEN_STL,stl,0.9,0.4166666666666667,0.9460000000000001,5,2013
2013_09_TEN_STL,ten,0.77,0.41583333333333333,1.0,5,2013
2013_10_BUF_PIT,buf,0.93,0.38461538461538464,1.0,5,2013
2013_10_BUF_PIT,pit,0.85,0.41727272727272724,0.8316666666666667,6,2013
2013_10_CAR_SF,car,0.91,0.45272727272727276,0.99,5,2013
2013_10_CAR_SF,sf,0.89,0.37846153846153846,1.0,5,2013
2013_10_CIN_BAL,bal,0.95,0.44,0.9720000000000001,5,2013
2013_10_CIN_BAL,cin,0.98,0.35642857142857143,1.0,5,2013
2013_10_DAL_NO,dal,0.93,0.4509090909090909,1.0,5,2013
2013_10_DAL_NO,no,0.61,0.3723076923076923,0.998,5,2013
2013_10_DEN_SD,den,0.9,0.4166666666666667,1.0,5,2013
2013_10_DEN_SD,sd,0.97,0.4563636363636363,0.8539999999999999,5,2013
2013_10_DET_CHI,chi,0.96,0.3925,1.0,5,2013
2013_10_DET_CHI,det,0.97,0.45363636363636367,0.9960000000000001,5,2013
2013_10_HOU_ARI,ari,0.95,0.415,1.0,5,2013
2013_10_HOU_ARI,hou,1.0,0.4166666666666667,0.9179999999999999,5,2013
2013_10_JAX_TEN,jax,0.98,0.45545454545454545,0.9960000000000001,5,2013
2013_10_JAX_TEN,ten,0.84,0.4175,0.958,5,2013
2013_10_MIA_TB,mia,0.95,0.49000000000000005,1.0,5,2013
2013_10_MIA_TB,tb,0.97,0.4091666666666667,0.9960000000000001,5,2013
2013_10_OAK_NYG,nyg,0.86,0.3983333333333334,1.0,5,2013
