date,home_key,away_key,home_open_spread,away_open_spread,home_close_spread,away_close_spread,open_total,close_total,source
2025-10-19,den,nyg,-7.444444444444445,7.5,-8.11111111111111,8.5,41.0,40.5,oddsapi-snapshots-2025
2025-11-09,mia,buf,9.166666666666666,-9.166666666666666,8.0,-8.0,49.833333333333336,50.0,oddsapi-snapshots-2025
2025-12-14,dal,min,-6.833333333333333,6.833333333333333,-5.5,5.5,47.166666666666664,47.5,oddsapi-snapshots-2025
2026-01-18,chi,la,3.8333333333333335,-3.8333333333333335,3.5,-3.5,50.833333333333336,48.833333333333336,oddsapi-snapshots-2025
2025-12-21,nyg,min,1.5,-1.5,2.5,-2.5,43.333333333333336,41.0,oddsapi-snapshots-2025
2025-12-01,ne,nyg,-7.5,7.5,-7.166666666666667,7.166666666666667,46.833333333333336,46.5,oddsapi-snapshots-2025
2025-10-26,den,dal,-3.0,3.0,-3.5,3.5,47.5,51.666666666666664,oddsapi-snapshots-2025
2026-01-04,min,gb,-6.1,6.5,-12.54,7.5,37.166666666666664,37.0,oddsapi-snapshots-2025
2025-11-09,ind,atl,-6.666666666666667,6.666666666666667,-6.166666666666667,6.166666666666667,48.5,48.166666666666664,oddsapi-snapshots-2025
2025-11-10,gb,phi,-2.8333333333333335,2.8333333333333335,0.3333333333333333,-0.3333333333333333,45.0,44.833333333333336,oddsapi-snapshots-2025
2025-11-23,dal,phi,3.8333333333333335,-3.8333333333333335,3.0,-3.0,49.666666666666664,47.666666666666664,oddsapi-snapshots-2025
2026-01-11,phi,sf,-3.1666666666666665,3.1666666666666665,-6.0,6.0,46.166666666666664,44.5,oddsapi-snapshots-2025
2025-12-07,kc,hou,-5.333333333333333,5.333333333333333,-4.0,4.0,42.666666666666664,41.333333333333336,oddsapi-snapshots-2025
2025-12-21,hou,lv,-13.166666666666666,13.166666666666666,-14.166666666666666,14.166666666666666,37.5,38.833333333333336,oddsapi-snapshots-2025
2025-10-12,lv,ten,-6.166666666666667,6.166666666666667,-3.5,3.5,41.5,41.833333333333336,oddsapi-snapshots-2025
2025-09-25,ari,sea,-2.5,2.5,1.5,-1.5,44.0,43.666666666666664,oddsapi-snapshots-2025
2026-01-25,sea,la,-3.0,3.0,-2.5,2.5,47.5,45.666666666666664,oddsapi-snapshots-2025
2025-09-21,phi,la,-4.333333333333333,4.333333333333333,-3.3333333333333335,3.3333333333333335,45.0,44.5,oddsapi-snapshots-2025
2025-09-07,was,nyg,-6.0,6.0,-6.0,6.0,45.5,45.5,oddsapi-snapshots-2025
2025-09-28,pit,min,-1.5,1.5,2.5,-2.5,41.166666666666664,41.0,oddsapi-snapshots-2025
2025-12-07,jax,ind,1.5,-1.75,1.5,-2.4423076923076925,47.833333333333336,45.0,oddsapi-snapshots-2025
2026-01-03,tb,car,-3.0,3.4705882352941178,-2.95,3.0,44.0,43.0,oddsapi-snapshots-2025
2025-12-07,bal,pit,-10.0,6.653846153846154,-6.0,5.6923076923076925,46.666666666666664,44.0,oddsapi-snapshots-2025
2025-11-28,phi,chi,-7.0,7.0,-7.333333333333333,7.333333333333333,45.0,43.5,oddsapi-snapshots-2025
2025-11-23,det,nyg,-11.166666666666666,11.166666666666666,-14.0,14.0,49.0,50.5,oddsapi-snapshots-2025
2025-10-26,car,buf,7.5,-7.5,7.0,-7.0,48.166666666666664,47.166666666666664,oddsapi-snapshots-2025
2025-09-14,bal,cle,-12.666666666666666,12.666666666666666,-12.0,12.0,44.833333333333336,44.833333333333336,oddsapi-snapshots-2025
2025-09-07,no,ari,6.5,-6.5,6.0,-6.0,43.5,44.166666666666664,oddsapi-snapshots-2025
2025-09-21,car,atl,2.5,-2.5,5.0,-4.5,44.5,43.666666666666664,oddsapi-snapshots-2025
2025-09-14,mia,ne,-2.5,2.5,-2.5,2.5,45.5,43.166666666666664,oddsapi-snapshots-2025
2025-09-21,cle,gb,6.5,-7.0,7.5,-7.5,43.0,41.0,oddsapi-snapshots-2025
2025-12-07,min,was,-2.1666666666666665,2.1666666666666665,-0.3333333333333333,0.3333333333333333,42.166666666666664,44.0,oddsapi-snapshots-2025
2025-11-16,jax,lac,2.1666666666666665,-2.1666666666666665,2.6666666666666665,-2.6666666666666665,44.833333333333336,43.166666666666664,oddsapi-snapshots-2025
2025-12-28,buf,phi,-3.0,3.0,-3.0,3.0,45.666666666666664,45.0,oddsapi-snapshots-2025
2025-12-07,gb,chi,-6.0,6.0,-7.0,7.0,45.5,43.5,oddsapi-snapshots-2025
2025-11-16,nyg,gb,10.5,-10.5,7.0,-7.0,45.166666666666664,41.5,oddsapi-snapshots-2025
2025-12-08,lac,phi,2.5,-2.5,2.5,-2.5,43.333333333333336,41.666666666666664,oddsapi-snapshots-2025
2025-09-07,nyj,pit,2.5,-2.5,2.8333333333333335,-2.8333333333333335,38.5,38.0,oddsapi-snapshots-2025
2025-11-02,gb,car,-11.333333333333334,11.333333333333334,-13.166666666666666,13.166666666666666,44.0,43.0,oddsapi-snapshots-2025
2025-10-16,cin,pit,4.0,-4.0,5.166666666666667,-5.166666666666667,42.833333333333336,45.0,oddsapi-snapshots-2025
2025-11-02,buf,kc,1.3333333333333333,-1.3333333333333333,1.8333333333333333,-1.8333333333333333,51.833333333333336,52.833333333333336,oddsapi-snapshots-2025
2025-11-30,ten,jax,7.0,-7.0,6.0,-6.0,42.0,42.333333333333336,oddsapi-snapshots-2025
2026-01-04,jax,ten,-10.4,10.5,-13.02,13.5,45.0,45.666666666666664,oddsapi-snapshots-2025
2025-10-23,lac,min,-2.8333333333333335,2.8333333333333335,-3.0,3.0,42.666666666666664,44.5,oddsapi-snapshots-2025
2025-10-30,mia,bal,7.5,-7.5,7.5,-7.5,50.0,51.0,oddsapi-snapshots-2025
2025-11-30,car,la,9.592592592592593,-10.0,10.166666666666666,-10.5,45.333333333333336,45.0,oddsapi-snapshots-2025
2025-09-07,den,ten,-8.333333333333334,8.333333333333334,-9.0,9.0,42.5,42.5,oddsapi-snapshots-2025
2025-10-19,min,phi,3.0,-3.0,1.6666666666666667,-1.6666666666666667,41.833333333333336,43.833333333333336,oddsapi-snapshots-2025
2025-11-16,phi,det,-1.8333333333333333,1.8333333333333333,-2.8333333333333335,2.8333333333333335,47.833333333333336,46.5,oddsapi-snapshots-2025
2025-11-02,ne,atl,-3.6666666666666665,3.6666666666666665,-5.166666666666667,5.166666666666667,44.833333333333336,45.5,oddsapi-snapshots-2025
2025-10-05,cle,min,4.666666666666667,-4.666666666666667,3.5,-3.5,38.166666666666664,36.0,oddsapi-snapshots-2025
2025-09-22,bal,det,-6.5,6.5,-4.5,4.5,50.5,53.666666666666664,oddsapi-snapshots-2025
2025-10-05,bal,hou,-9.5,9.5,1.0,-1.0,46.0,40.666666666666664,oddsapi-snapshots-2025
2025-10-05,sea,tb,-2.0,2.0,-3.5,3.5,45.166666666666664,44.5,oddsapi-snapshots-2025
2025-11-30,sea,min,-7.833333333333333,7.833333333333333,-12.666666666666666,12.666666666666666,43.0,42.166666666666664,oddsapi-snapshots-2025
2025-11-16,pit,cin,-5.833333333333333,5.833333333333333,-5.5,5.5,49.666666666666664,48.0,oddsapi-snapshots-2025
2025-11-23,bal,nyj,-14.5,14.5,-14.0,14.0,44.5,44.5,oddsapi-snapshots-2025
