season,date,game_pk,venue_id,hp_ump_id,has_ump
2022,2022-04-24,663361,15.0,427184,1.0
2022,2022-04-24,662274,2680.0,573769,1.0
2022,2022-04-24,662188,680.0,482608,1.0
2022,2022-04-24,661640,2681.0,427220,1.0
2022,2022-04-25,661210,32.0,427164,1.0
2022,2022-04-25,661639,2681.0,427044,1.0
2022,2022-04-25,661760,14.0,483564,1.0
2022,2022-04-25,662008,2889.0,484198,1.0
2022,2022-04-25,661979,5325.0,623938,1.0
2022,2022-04-25,661034,1.0,608093,1.0
2022,2022-04-25,663382,15.0,644760,1.0
2022,2022-04-26,662297,31.0,596740,1.0
2022,2022-04-26,663079,2602.0,427537,1.0
2022,2022-04-26,661929,12.0,427093,1.0
2022,2022-04-26,661567,2681.0,521889,1.0
2022,2022-04-26,662540,3309.0,427534,1.0
2022,2022-04-26,661309,3313.0,544728,1.0
2022,2022-04-26,661758,14.0,482663,1.0
2022,2022-04-26,661536,4.0,521051,1.0
2022,2022-04-26,661589,4705.0,483561,1.0
2022,2022-04-26,661733,3312.0,483630,1.0
2022,2022-04-26,662007,2889.0,427533,1.0
2022,2022-04-26,661980,5325.0,490319,1.0
2022,2022-04-26,661032,1.0,427344,1.0
2022,2022-04-26,663383,15.0,521251,1.0
2022,2022-04-26,662086,2395.0,482620,1.0
2022,2022-04-27,662048,2889.0,605672,1.0
2022,2022-04-27,661533,4.0,427128,1.0
2022,2022-04-27,663393,15.0,427248,1.0
