nhl_game_id,season,team,is_home,xgf,xga,shots_for,shots_against,gf,ga
2010020191,2010,PHI,0,2.701,2.9157,43,49,2,1
2010020192,2010,CAR,1,2.7517,1.6603,40,30,3,2
2010020192,2010,FLA,0,1.6603,2.7517,30,40,2,3
2010020193,2010,ATL,1,2.2591,3.2706,45,50,4,4
2010020193,2010,CHI,0,3.2706,2.2591,50,45,4,4
2010020194,2010,CBJ,1,3.0913,2.481,48,32,2,3
2010020194,2010,MIN,0,2.481,3.0913,32,48,3,2
2010020195,2010,COL,1,4.1838,1.5584,53,40,5,0
2010020195,2010,DAL,0,1.5584,4.1838,40,53,0,5
2010020196,2010,ARI,1,2.0278,2.2604,48,51,3,3
2010020196,2010,PIT,0,2.2604,2.0278,51,48,3,3
2010020197,2010,DET,0,2.7806,4.2689,36,47,4,6
2010020197,2010,VAN,1,4.2689,2.7806,47,36,6,4
2010020198,2010,S.J,1,4.2528,2.7672,57,46,5,2
2010020198,2010,T.B,0,2.7672,4.2528,46,57,2,5
2010020199,2010,PHI,0,2.1536,2.8368,35,51,2,3
2010020199,2010,WSH,1,2.8368,2.1536,51,35,3,2
2010020200,2010,NYR,1,2.2983,2.2636,38,30,0,2
2010020200,2010,STL,0,2.2636,2.2983,30,38,2,0
2010020201,2010,CHI,1,1.8841,2.861,36,38,1,2
2010020201,2010,EDM,0,2.861,1.8841,38,36,2,1
2010020202,2010,ANA,1,2.9756,2.0427,53,43,5,4
2010020202,2010,NSH,0,2.0427,2.9756,43,53,4,5
2010020203,2010,ARI,0,2.0685,2.6764,44,53,2,3
2010020203,2010,DET,1,2.6764,2.0685,53,44,3,2
2010020204,2010,NYR,1,2.7259,5.7072,39,31,3,5
2010020204,2010,WSH,0,5.7072,2.7259,31,39,5,3
2010020205,2010,CAR,1,5.0458,2.5975,54,38,7,1
2010020205,2010,EDM,0,2.5975,5.0458,38,54,1,7
2010020206,2010,MTL,1,2.6278,2.7833,40,48,2,0
2010020206,2010,VAN,0,2.7833,2.6278,48,40,0,2
2010020207,2010,ATL,0,3.8479,2.1226,46,36,2,5
2010020207,2010,OTT,1,2.1226,3.8479,36,46,5,2
2010020208,2010,T.B,1,2.7125,1.4526,35,38,4,0
2010020208,2010,TOR,0,1.4526,2.7125,38,35,0,4
2010020209,2010,CGY,0,4.0162,2.9664,41,41,4,2
2010020209,2010,COL,1,2.9664,4.0162,41,41,2,4
2010020210,2010,ANA,0,1.2508,4.6358,31,59,3,2
2010020210,2010,S.J,1,4.6358,1.2508,59,31,2,3
2010020211,2010,BUF,0,2.9415,2.4982,48,39,4,4
2010020211,2010,N.J,1,2.4982,2.9415,39,48,4,4
2010020212,2010,BOS,0,3.4718,2.6371,39,56,7,4
2010020212,2010,PIT,1,2.6371,3.4718,56,39,4,7
2010020213,2010,CBJ,1,2.7805,3.5114,45,39,8,1
