game_id,penalty_team,n,yds
1999_14_STL_NO,LA,9,54.0
1999_14_STL_NO,NO,4,35.0
1999_15_ATL_TEN,ATL,5,46.0
1999_15_ATL_TEN,TEN,14,90.0
1999_15_BUF_ARI,ARI,5,20.0
1999_15_BUF_ARI,BUF,4,58.0
1999_15_DET_CHI,CHI,8,62.0
1999_15_DET_CHI,DET,6,43.0
1999_15_GB_MIN,GB,6,57.0
1999_15_GB_MIN,MIN,11,85.0
1999_15_JAX_CLE,CLE,4,35.0
1999_15_JAX_CLE,JAX,4,52.0
1999_15_NE_PHI,NE,3,15.0
1999_15_NE_PHI,PHI,7,85.0
1999_15_NO_BAL,BAL,7,60.0
1999_15_NO_BAL,NO,6,48.0
1999_15_NYG_STL,LA,8,88.0
1999_15_NYG_STL,NYG,6,50.0
1999_15_NYJ_DAL,DAL,8,92.0
1999_15_NYJ_DAL,NYJ,3,20.0
1999_15_PIT_KC,KC,8,60.0
1999_15_PIT_KC,PIT,10,65.0
1999_15_SD_MIA,LAC,4,40.0
1999_15_SD_MIA,MIA,11,106.0
1999_15_SEA_DEN,DEN,8,62.0
1999_15_SEA_DEN,SEA,12,118.0
1999_15_SF_CAR,CAR,6,40.0
1999_15_SF_CAR,SF,7,55.0
1999_15_TB_OAK,LV,3,35.0
1999_15_TB_OAK,TB,9,60.0
1999_15_WAS_IND,IND,5,62.0
1999_15_WAS_IND,WAS,6,60.0
1999_16_ARI_ATL,ARI,8,57.0
1999_16_ARI_ATL,ATL,4,24.0
1999_16_BUF_NE,BUF,4,30.0
1999_16_BUF_NE,NE,5,25.0
1999_16_CAR_PIT,CAR,3,15.0
1999_16_CAR_PIT,PIT,7,60.0
1999_16_CHI_STL,CHI,10,64.0
1999_16_CHI_STL,LA,8,76.0
1999_16_CIN_BAL,BAL,7,53.0
1999_16_CIN_BAL,CIN,11,87.0
1999_16_DAL_NO,DAL,11,86.0
1999_16_DAL_NO,NO,6,32.0
1999_16_DEN_DET,DEN,5,40.0
1999_16_DEN_DET,DET,10,78.0
1999_16_GB_TB,GB,2,20.0
1999_16_GB_TB,TB,2,25.0
1999_16_IND_CLE,CLE,7,37.0
1999_16_JAX_TEN,JAX,4,29.0
1999_16_JAX_TEN,TEN,4,33.0
1999_16_KC_SEA,KC,11,64.0
1999_16_KC_SEA,SEA,5,55.0
1999_16_MIN_NYG,MIN,10,80.0
1999_16_MIN_NYG,NYG,5,40.0
1999_16_NYJ_MIA,MIA,4,28.0
1999_16_NYJ_MIA,NYJ,5,44.0
1999_16_OAK_SD,LAC,8,91.0
1999_16_OAK_SD,LV,13,100.0
1999_16_WAS_SF,SF,1,10.0
1999_16_WAS_SF,WAS,6,38.0
1999_17_ARI_GB,ARI,3,20.0
1999_17_ARI_GB,GB,3,20.0
1999_17_BAL_NE,BAL,9,60.0
1999_17_BAL_NE,NE,3,59.0
1999_17_CIN_JAX,CIN,6,64.0
1999_17_CIN_JAX,JAX,8,49.0
1999_17_DET_MIN,DET,4,47.0
1999_17_DET_MIN,MIN,7,45.0
1999_17_IND_BUF,BUF,3,25.0
1999_17_IND_BUF,IND,2,23.0
1999_17_MIA_WAS,MIA,6,88.0
1999_17_MIA_WAS,WAS,3,25.0
1999_17_NO_CAR,CAR,8,75.0
1999_17_NO_CAR,NO,6,54.0
1999_17_NYG_DAL,DAL,7,56.0
1999_17_NYG_DAL,NYG,5,44.0
1999_17_OAK_KC,KC,5,33.0
1999_17_OAK_KC,LV,5,35.0
1999_17_SD_DEN,DEN,6,45.0
1999_17_SD_DEN,LAC,6,50.0
1999_17_SEA_NYJ,NYJ,3,25.0
1999_17_SEA_NYJ,SEA,5,44.0
1999_17_SF_ATL,ATL,6,40.0
1999_17_SF_ATL,SF,16,118.0
1999_17_STL_PHI,LA,5,54.0
1999_17_STL_PHI,PHI,8,65.0
1999_17_TB_CHI,CHI,2,10.0
1999_17_TB_CHI,TB,3,30.0
1999_17_TEN_PIT,PIT,7,73.0
1999_17_TEN_PIT,TEN,6,56.0
1999_18_BUF_TEN,BUF,10,59.0
1999_18_BUF_TEN,TEN,2,12.0
1999_18_DAL_MIN,DAL,7,60.0
1999_18_DAL_MIN,MIN,7,50.0
1999_18_DET_WAS,DET,12,126.0
1999_18_DET_WAS,WAS,6,75.0
1999_18_MIA_SEA,MIA,6,67.0
1999_18_MIA_SEA,SEA,2,10.0
1999_19_MIA_JAX,JAX,7,52.0
1999_19_MIA_JAX,MIA,9,87.0
1999_19_MIN_STL,LA,10,71.0
1999_19_MIN_STL,MIN,10,57.0
1999_19_TEN_IND,IND,7,60.0
1999_19_TEN_IND,TEN,9,78.0
1999_19_WAS_TB,TB,2,25.0
1999_19_WAS_TB,WAS,4,61.0
1999_20_TB_STL,LA,7,48.0
1999_20_TB_STL,TB,3,15.0
1999_20_TEN_JAX,JAX,9,100.0
1999_20_TEN_JAX,TEN,5,39.0
1999_21_STL_TEN,LA,8,60.0
1999_21_STL_TEN,TEN,7,45.0
2000_01_ARI_NYG,ARI,1,5.0
2000_01_ARI_NYG,NYG,9,68.0
2000_01_BAL_PIT,BAL,6,42.0
2000_01_BAL_PIT,PIT,2,15.0
2000_01_CAR_WAS,CAR,9,65.0
2000_01_CAR_WAS,WAS,7,64.0
2000_01_CHI_MIN,CHI,5,45.0
2000_01_CHI_MIN,MIN,4,20.0
2000_01_DEN_STL,DEN,5,27.0
2000_01_DEN_STL,LA,4,36.0
2000_01_DET_NO,DET,8,74.0
2000_01_DET_NO,NO,12,89.0
2000_01_IND_KC,IND,7,78.0
2000_01_IND_KC,KC,6,50.0
2000_01_JAX_CLE,CLE,3,25.0
2000_01_JAX_CLE,JAX,1,5.0
2000_01_NYJ_GB,GB,10,81.0
2000_01_NYJ_GB,NYJ,10,75.0
2000_01_PHI_DAL,DAL,8,79.0
2000_01_PHI_DAL,PHI,4,25.0
2000_01_SD_OAK,LAC,4,35.0
2000_01_SD_OAK,LV,8,60.0
2000_01_SEA_MIA,MIA,6,36.0
2000_01_SEA_MIA,SEA,2,10.0
2000_01_SF_ATL,ATL,4,51.0
2000_01_SF_ATL,SF,7,42.0
2000_01_TB_NE,NE,5,33.0
2000_01_TB_NE,TB,4,25.0
2000_01_TEN_BUF,BUF,6,91.0
2000_01_TEN_BUF,TEN,12,112.0
2000_02_ATL_DEN,ATL,10,71.0
2000_02_ATL_DEN,DEN,7,54.0
2000_02_CAR_SF,CAR,6,50.0
2000_02_CAR_SF,SF,9,67.0
2000_02_CHI_TB,CHI,9,64.0
2000_02_CHI_TB,TB,3,20.0
2000_02_CLE_CIN,CIN,7,65.0
2000_02_CLE_CIN,CLE,6,60.0
2000_02_DAL_ARI,ARI,2,15.0
2000_02_DAL_ARI,DAL,5,102.0
2000_02_GB_BUF,BUF,5,33.0
2000_02_GB_BUF,GB,2,12.0
2000_02_JAX_BAL,BAL,8,65.0
2000_02_JAX_BAL,JAX,10,60.0
2000_02_KC_TEN,KC,10,72.0
2000_02_KC_TEN,TEN,7,70.0
2000_02_MIA_MIN,MIA,7,40.0
2000_02_MIA_MIN,MIN,7,60.0
2000_02_NE_NYJ,NE,3,8.0
2000_02_NE_NYJ,NYJ,6,69.0
2000_02_NO_SD,LAC,7,85.0
2000_02_NO_SD,NO,6,37.0
2000_02_NYG_PHI,NYG,4,35.0
2000_02_NYG_PHI,PHI,5,40.0
2000_02_OAK_IND,IND,7,41.0
2000_02_OAK_IND,LV,5,35.0
2000_02_STL_SEA,LA,4,16.0
2000_02_STL_SEA,SEA,1,10.0
2000_02_WAS_DET,DET,7,50.0
2000_02_WAS_DET,WAS,6,55.0
2000_03_ATL_CAR,ATL,7,57.0
2000_03_ATL_CAR,CAR,4,28.0
2000_03_BAL_MIA,BAL,4,20.0
2000_03_BAL_MIA,MIA,6,38.0
2000_03_BUF_NYJ,BUF,7,66.0
2000_03_BUF_NYJ,NYJ,3,10.0
2000_03_CIN_JAX,CIN,6,44.0
2000_03_CIN_JAX,JAX,7,76.0
2000_03_DAL_WAS,DAL,4,20.0
2000_03_DAL_WAS,WAS,6,82.0
2000_03_DEN_OAK,DEN,3,30.0
2000_03_DEN_OAK,LV,5,51.0
2000_03_MIN_NE,MIN,5,61.0
2000_03_MIN_NE,NE,9,64.0
2000_03_NO_SEA,NO,4,40.0
2000_03_NO_SEA,SEA,4,32.0
2000_03_NYG_CHI,CHI,2,30.0
2000_03_NYG_CHI,NYG,2,15.0
2000_03_PHI_GB,GB,5,31.0
2000_03_PHI_GB,PHI,12,115.0
2000_03_PIT_CLE,CLE,4,26.0
2000_03_PIT_CLE,PIT,5,35.0
2000_03_SF_STL,LA,3,25.0
2000_03_SF_STL,SF,7,53.0
2000_03_TB_DET,DET,10,51.0
2000_03_TB_DET,TB,5,45.0
2000_04_CIN_BAL,BAL,10,90.0
2000_04_CIN_BAL,CIN,8,53.0
2000_04_CLE_OAK,CLE,8,46.0
2000_04_CLE_OAK,LV,5,40.0
2000_04_DET_CHI,CHI,9,78.0
2000_04_DET_CHI,DET,6,39.0
2000_04_GB_ARI,ARI,3,25.0
2000_04_GB_ARI,GB,8,73.0
2000_04_JAX_IND,IND,11,90.0
2000_04_JAX_IND,JAX,4,40.0
2000_04_KC_DEN,DEN,6,71.0
2000_04_KC_DEN,KC,8,48.0
2000_04_NE_MIA,MIA,5,40.0
2000_04_NE_MIA,NE,3,30.0
2000_04_NYJ_TB,NYJ,4,25.0
2000_04_NYJ_TB,TB,8,75.0
2000_04_PHI_NO,NO,5,40.0
2000_04_PHI_NO,PHI,10,64.0
2000_04_SEA_SD,LAC,9,71.0
2000_04_SEA_SD,SEA,5,45.0
2000_04_SF_DAL,DAL,5,62.0
2000_04_SF_DAL,SF,8,94.0
2000_04_STL_ATL,ATL,5,42.0
2000_04_STL_ATL,LA,10,90.0
2000_04_TEN_PIT,PIT,5,35.0
2000_04_TEN_PIT,TEN,3,25.0
2000_04_WAS_NYG,NYG,6,59.0
2000_04_WAS_NYG,WAS,4,25.0
