game_id,home_rapm,away_rapm
2019020989,-0.01527,0.00521
2019020990,-0.00719,0.01443
2019020991,-0.00208,-0.00287
2019020992,-0.01534,-0.00164
2019020993,-0.00666,-0.01448
2019020994,0.00525,-0.01074
2019020995,-0.00035,0.00521
2019020996,0.01992,0.00033
2019020997,0.00048,-0.00591
2019020998,-0.01929,-0.00599
2019020999,0.03586,0.00252
2019021000,-0.00244,-0.00287
2019021001,0.00275,-0.01448
2019021002,-0.00161,-0.01149
2019021003,-0.02682,-0.00823
2019021004,0.0059,0.01992
2019021005,-0.02865,-0.00187
2019021006,-0.0079,0.0186
2019021007,-0.00208,-0.00323
2019021008,-0.00481,-0.00591
2019021009,0.03056,-0.00988
2019021010,-0.00711,-0.00697
2019021011,-0.00406,0.00525
2019021012,-0.00161,-0.00287
2019021013,0.0012,-0.01923
2019021014,0.00521,0.00253
2019021015,-0.01053,-0.01145
2019021016,-8e-05,0.00275
2019021017,-0.00299,-0.00321
2019021018,-0.00208,0.03118
2019021019,-0.00244,0.00857
2019021020,0.03586,0.0059
2019021021,-0.00406,-0.01535
2019021022,-0.00246,-0.02714
2019021023,0.00748,0.00896
2019021024,-0.01265,0.00328
2019021025,-0.01149,-0.01736
2019021026,0.00844,0.03387
2019021027,-8e-05,-0.01434
2019021028,-0.01476,-0.02682
2019021029,0.00207,0.00525
2019021030,-0.00287,0.00907
2019021031,-0.00321,-0.0285
2019021032,-0.02066,-0.00481
2019021033,0.00328,0.00536
2019021034,-0.00244,0.01487
2019021035,-0.00161,0.00552
2019021036,-0.00406,0.00253
2019021037,0.00387,0.01992
2019021038,-0.02008,0.02949
2019021039,0.00346,0.00844
2019021040,-0.01149,0.03387
2019021041,0.00275,-0.02665
2019021042,-0.01476,0.01003
2019021043,-0.01448,-0.00625
2019021044,-0.00556,-0.02228
2019021045,-0.01817,-8e-05
2019021046,-0.00287,-0.00481
2019021047,-0.01923,-0.01189
2019021048,-0.0241,-0.02477
2019021049,0.01983,0.01992
2019021050,0.00687,0.00253
2019021051,0.01788,0.00346
2019021052,0.00275,0.01003
2019021053,0.00412,-0.00244
2019021054,-0.00161,0.01148
2019021055,-0.00406,-0.01448
2019021056,0.00387,-0.01277
2019021057,-0.01476,-0.03061
2019021058,0.03122,-0.00085
2019021059,0.00536,0.01832
2019021060,-0.00556,-0.00335
2019021061,-0.02066,-0.00669
2019021062,-0.01042,-8e-05
