gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0033392,Harvey Langi,LB,25.925,3.783,635,14.575,19.5,0,D
00-0035061,Alex Bars,OL,25.609,3.014,1507,16.566,19.5,0,D
00-0035413,Luke Gifford,LB,22.888,2.773,451,14.568,19.5,1,D
00-0036250,Tyler Davis,TE,25.093,3.958,318,13.219,19.5,0,D
00-0036922,Patrick Johnson,LB,24.162,3.194,516,14.581,19.5,1,D
00-0037094,Jonathan Ford,DL,24.69,3.29,217,14.819,19.5,1,D
00-0038818,Luke Haggard,OL,25.168,3.007,232,16.147,19.5,1,D
00-0032970,Jordan Jenkins,DL,25.77,3.657,3069,14.8,19.4,0,D
00-0036269,La'Mical Perine,RB,25.148,4.013,265,13.11,19.4,0,D
00-0036145,Lawrence Cager,TE,24.432,3.744,369,13.199,19.4,0,D
00-0036977,Ben Cleveland,OL,26.75,3.399,657,16.552,19.4,1,D
00-0033258,Darrell Daniels,TE,24.452,3.76,920,13.171,19.3,0,D
00-0033296,Alex Armah,RB,24.933,3.948,518,13.088,19.3,0,D
00-0033471,Isaiah Ford,WR,25.525,3.888,709,13.86,19.3,0,D
00-0036385,Bopete Keyes,DB,25.411,6.395,83,6.225,19.3,0,D
00-0036173,Tommy Hudson,TE,22.328,5.84,56,4.807,19.3,0,D
00-0036197,Jake Fromm,QB,24.07,5.075,111,8.844,19.3,0,D
00-0039586,Tyrek Funderburk,DB,25.335,3.912,157,13.598,19.3,0,D
00-0039411,Elijah Klein,OL,21.434,5.274,83,5.611,19.3,1,D
00-0031799,Anthony Harris,DB,25.512,3.39,3931,15.341,19.2,0,D
00-0030434,Vince Williams,LB,25.759,3.753,2757,14.499,19.2,0,D
00-0032320,Erik Harris,DB,25.66,3.444,2618,15.329,19.2,0,D
00-0032756,Channing Ward,DL,25.048,6.564,79,5.357,19.2,0,D
00-0029709,Ty Nsekhe,OL,26.279,3.257,1990,16.51,19.2,0,D
00-0033763,Evan Baylis,TE,24.879,5.982,65,6.934,19.2,0,D
00-0034378,Ito Smith,RB,25.537,4.159,648,13.059,19.2,0,D
00-0032986,J.P. Holtz,TE,25.095,3.982,544,13.148,19.2,0,D
00-0034984,Kingsley Keke,DL,25.83,3.688,864,14.766,19.2,0,D
00-0035157,Darius Harris,LB,25.23,3.577,412,14.498,19.2,0,D
00-0036930,Landon Young,OL,24.221,2.573,830,16.503,19.2,0,D
00-0040636,Keyon Martin,DB,27.305,5.005,136,12.29,19.2,1,D
00-0032261,Malcom Brown,DL,25.362,3.54,3338,14.742,19.1,0,D
00-0033556,Tarik Cohen,RB,25.182,4.043,1427,13.053,19.1,0,D
00-0034652,Cameron Batson,WR,25.873,4.016,514,13.824,19.1,0,D
00-0036194,Devin Asiasi,TE,25.055,3.976,374,13.127,19.1,0,D
00-0037225,Chris Glaser,OL,22.615,5.924,80,4.844,19.1,0,D
00-0039422,Nathan Thomas,OL,23.978,2.498,315,16.484,19.1,1,D
00-0030511,Brandon Williams,DL,24.951,3.411,3054,14.718,19.0,0,D
00-0032776,Deiondre' Hall,DB,25.014,7.022,73,3.948,19.0,0,D
00-0031947,Tyeler Davison,DL,25.606,3.624,2889,14.733,19.0,0,D
00-0029202,Mike Adams,OL,25.278,6.183,90,6.729,19.0,0,D
00-0028570,Taylor Boggs,OL,25.125,5.928,94,7.342,19.0,0,D
00-0030908,Kenny Ladler,DB,25.306,6.275,85,6.483,19.0,0,D
00-0036373,Rashard Lawrence,DL,26.129,3.798,495,14.735,19.0,0,D
00-0036317,Arlington Hambright,OL,24.982,6.727,80,4.8,19.0,0,D
00-0038850,TK McLendon Jr.,DL,23.581,5.053,99,8.423,19.0,0,D
00-0030455,Star Lotulelei,DL,25.583,3.623,2558,14.713,18.9,0,D
00-0020679,Shaun Hill,QB,24.974,7.874,68,1.354,18.9,0,D
00-0029294,Asa Jackson,DB,25.107,6.118,87,6.754,18.9,0,D
00-0032399,Miles Killebrew,DB,26.419,3.723,753,15.249,18.8,0,D
00-0032269,Henry Anderson,DL,25.257,3.527,2417,14.677,18.8,0,D
00-0033094,Marvin Hall,WR,25.657,3.971,723,13.745,18.8,0,D
00-0039789,Qwan'tez Stiggers,DB,23.992,2.913,274,15.253,18.8,1,D
00-0033129,Carl Nassib,LB,24.735,3.446,3226,14.397,18.7,0,D
00-0030083,Oday Aboushi,OL,26.155,3.244,2557,16.423,18.7,0,D
00-0032626,Geronimo Allison,WR,25.636,3.969,1533,13.729,18.7,0,D
00-0033588,Isaac Rochell,DL,24.799,3.377,1669,14.669,18.7,0,D
00-0036239,Jonathan Garvin,DL,25.422,3.583,627,14.672,18.7,0,D
00-0036879,Sam Ehlinger,QB,24.389,4.245,232,11.653,18.7,0,D
00-0036810,Cade Johnson,WR,24.584,4.992,94,9.61,18.7,0,D
00-0038564,Cameron Latu,TE,24.369,4.473,94,10.951,18.7,1,D
00-0027668,Brandon Spikes,LB,25.186,6.434,91,5.883,18.6,0,D
00-0032897,Derek Watt,RB,25.278,4.118,682,12.924,18.6,0,D
00-0026166,Duane Brown,OL,25.233,2.94,6061,16.412,18.6,0,D
00-0035342,Patrick Laird,RB,25.364,4.142,456,12.939,18.6,0,D
00-0036291,Marlon Davidson,DL,24.528,3.291,534,14.656,18.6,1,D
00-0034318,Henry Mondeaux,DL,25.454,3.602,556,14.648,18.6,0,D
00-0026898,Mark Sanchez,QB,24.944,5.904,100,7.232,18.5,0,D
00-0032432,Wes Schweitzer,OL,25.101,2.906,4543,16.382,18.5,0,D
00-0035246,J.J. Arcega-Whiteside,WR,25.458,3.924,768,13.686,18.5,0,D
00-0035390,Anthony Rush,DL,25.778,3.72,566,14.619,18.5,0,D
00-0036950,Avery Williams,RB,25.12,4.073,258,12.902,18.5,0,D
00-0037179,Jeremiah Moon,LB,24.718,3.455,229,14.351,18.5,1,D
00-0039810,Jermaine Burton,WR,23.834,3.912,122,12.097,18.5,0,D
00-0028112,Charles Clay,TE,25.352,4.128,2269,12.967,18.4,0,D
00-0027914,Andrew Sendejo,DB,25.589,3.476,3874,15.161,18.4,0,D
00-0030472,Jordan Reed,TE,25.069,4.037,1473,12.956,18.4,0,D
00-0031332,Fitzgerald Toussaint,RB,25.025,6.291,78,6.15,18.4,0,D
00-0031258,Jeremiah Attaochu,LB,25.657,3.775,1225,14.332,18.4,0,D
00-0033104,Cody Kessler,QB,25.183,4.537,623,11.571,18.4,0,D
00-0032227,Jeff Heuerman,TE,25.455,4.168,1413,12.95,18.4,0,D
00-0032094,Tyrell Adams,LB,25.654,3.777,975,14.322,18.4,0,D
00-0033899,DeShone Kizer,QB,25.273,4.566,895,11.574,18.4,0,D
00-0031744,Matt LaCosse,TE,25.23,4.091,881,12.958,18.4,0,D
00-0033590,Joey Ivie,DL,25.63,5.611,104,8.796,18.4,0,D
00-0036149,Javelin Guidry,DB,26.384,3.74,636,15.165,18.4,0,D
00-0037603,Jayden Peevy,DL,24.853,5.401,103,8.652,18.4,0,D
00-0030084,Jonathan Meeks,DB,25.068,6.438,83,5.753,18.3,0,D
00-0024226,Jay Cutler,QB,25.302,4.59,986,11.531,18.3,0,D
00-0032200,Ty Montgomery,WR,24.681,3.682,1558,13.635,18.3,0,D
00-0030575,Xavier Rhodes,DB,25.352,3.403,4955,15.144,18.3,0,D
00-0033121,B.J. Goodson,LB,25.486,3.731,2016,14.293,18.3,0,D
00-0033577,Nate Gerry,LB,25.761,3.822,1228,14.295,18.3,0,D
00-0034799,Kalen Ballage,RB,24.843,3.996,693,12.855,18.3,0,D
00-0035184,Devine Ozigbo,RB,25.221,6.192,81,6.644,18.3,0,D
00-0035400,Keaton Sutherland,OL,25.111,5.679,101,8.075,18.3,0,D
00-0036825,Feleipe Franks,TE,26.64,4.846,108,12.103,18.3,1,D
00-0037745,Velus Jones Jr.,WR,25.102,3.821,271,13.638,18.3,1,D
00-0028142,Virgil Green,TE,24.964,4.015,2151,12.919,18.2,0,D
00-0030525,Tavon Austin,WR,25.314,3.898,1629,13.62,18.2,0,D
00-0021429,Carson Palmer,QB,25.321,4.603,1406,11.511,18.2,0,D
00-0032420,Brandon Shell,OL,25.417,3.026,4351,16.34,18.2,0,D
00-0033543,Sidney Jones,DB,25.506,3.457,1706,15.135,18.2,0,D
00-0036303,Josiah Scott,DB,25.414,3.427,558,15.133,18.2,0,D
00-0036991,Amari Rodgers,WR,24.998,3.794,371,13.616,18.2,0,D
00-0038523,Kahlef Hailassie,DB,25.551,5.62,102,8.692,18.2,0,D
00-0040404,Payton Page,DL,16.296,6.438,53,-3.017,18.2,1,D
00-0030382,Kevin Minter,LB,25.581,3.779,1888,14.245,18.1,0,D
00-0035652,Ryan Finley,QB,25.221,4.579,270,11.485,18.1,0,D
00-0035251,Will Grier,QB,24.504,6.531,86,4.913,18.1,0,D
00-0036631,Royce Newman,OL,25.512,3.068,1621,16.308,18.1,0,D
00-0031553,Benardrick McKinney,LB,25.291,3.686,4131,14.234,18.0,0,D
00-0030442,John Simon,LB,25.561,3.774,2410,14.239,18.0,0,D
00-0030107,Theo Riddick,RB,25.519,4.24,1259,12.798,18.0,0,D
00-0031412,Stephon Tuitt,DL,25.717,3.731,3190,14.523,18.0,0,D
00-0031130,Christian Jones,LB,25.664,3.808,2483,14.239,18.0,0,D
00-0026393,Marcel Reece,RB,25.105,6.138,82,6.689,18.0,0,D
00-0036899,Aaron Robinson,DB,26.982,3.968,325,15.079,18.0,0,D
00-0040178,Jason Marshall Jr.,DB,24.931,3.28,230,15.09,18.0,1,D
00-0029137,Alshon Jeffery,WR,25.314,3.917,3224,13.563,17.9,0,D
00-0024270,Andrew Whitworth,OL,26.131,3.282,5906,16.285,17.9,0,D
00-0030148,Damion Square,DL,25.666,3.719,2086,14.509,17.9,0,D
00-0034730,Marcell Harris,DB,25.898,3.613,1356,15.06,17.9,0,D
00-0034511,Mike Love,DL,25.714,5.917,99,7.961,17.9,0,D
00-0035300,Dennis Daley,OL,25.055,2.923,2363,16.285,17.9,0,D
00-0034358,Derrius Guice,RB,25.343,5.834,90,7.842,17.9,0,D
00-0035592,Travis Fulgham,WR,25.447,3.966,589,13.549,17.9,0,D
00-0038684,Ethan Bonner,DB,29.147,6.133,122,10.748,17.9,1,D
00-0033080,Seth DeValve,TE,25.377,4.189,1033,12.811,17.8,0,D
00-0028237,Chris Hogan,WR,25.286,3.916,3137,13.538,17.8,0,D
00-0029119,Derek Carrier,TE,25.572,4.254,683,12.809,17.8,0,D
00-0034392,Scott Quessenberry,OL,25.45,3.061,1699,16.266,17.8,0,D
00-0035404,Porter Gustin,LB,25.918,3.91,705,14.19,17.8,0,D
00-0036450,Ke'Shawn Vaughn,RB,24.538,3.927,324,12.756,17.8,0,D
00-0036367,Lucas Niang,OL,26.423,3.389,554,16.255,17.8,0,D
00-0036845,Quincy Roche,LB,25.914,3.907,393,14.192,17.8,0,D
00-0036573,Rachad Wildgoose,DB,26.884,4.128,185,14.499,17.8,0,D
00-0039332,C.J. Ravenell,DL,22.122,5.106,91,6.802,17.8,1,D
00-0040230,Kitan Crawford,DB,23.648,4.141,128,11.223,17.8,1,D
00-0026564,Steve McLendon,DL,25.595,3.711,2428,14.461,17.7,0,D
00-0027891,Golden Tate,WR,24.975,3.821,3241,13.511,17.7,0,D
