game_id,play_id,passer_player_id,rusher_player_id,receiver_player_id
2016_01_CHI_HOU,1612,00-0024226,,00-0031569
2016_01_CHI_HOU,1636,,00-0031569,
2016_01_CHI_HOU,1674,00-0024226,,00-0031545
2016_01_CHI_HOU,1715,00-0029682,,00-0033127
2016_01_CHI_HOU,1737,,00-0029615,
2016_01_CHI_HOU,1758,00-0029682,,
2016_01_CHI_HOU,1819,,00-0024226,
2016_01_CHI_HOU,1892,00-0024226,,00-0029137
2016_01_CHI_HOU,1960,00-0024226,,00-0026182
2016_01_CHI_HOU,2077,,00-0031569,
2016_01_CHI_HOU,2098,00-0024226,,00-0031545
2016_01_CHI_HOU,2124,00-0029682,,00-0033127
2016_01_CHI_HOU,2175,00-0029682,,00-0033069
2016_01_CHI_HOU,2203,00-0029682,,00-0032725
2016_01_CHI_HOU,2227,00-0029682,,00-0033069
2016_01_CHI_HOU,2287,,00-0031569,
2016_01_CHI_HOU,2308,00-0024226,,00-0031569
2016_01_CHI_HOU,2330,00-0024226,,
2016_01_CHI_HOU,2368,00-0029682,,00-0030564
2016_01_CHI_HOU,2390,,00-0029615,
2016_01_CHI_HOU,2422,00-0029682,,00-0033127
2016_01_CHI_HOU,2478,,00-0031569,
2016_01_CHI_HOU,2516,,00-0031569,
2016_01_CHI_HOU,2537,,00-0031569,
2016_01_CHI_HOU,2558,00-0024226,,00-0026182
2016_01_CHI_HOU,2610,,00-0029615,
2016_01_CHI_HOU,2631,00-0029682,,00-0032725
2016_01_CHI_HOU,2655,00-0029682,,00-0030564
2016_01_CHI_HOU,2679,00-0029682,,
2016_01_CHI_HOU,2709,,00-0029615,
2016_01_CHI_HOU,2740,00-0029682,,00-0030564
2016_01_CHI_HOU,2789,,00-0031569,
2016_01_CHI_HOU,2810,00-0024226,,00-0029137
2016_01_CHI_HOU,2832,00-0024226,,00-0029137
2016_01_CHI_HOU,2898,,00-0029615,
2016_01_CHI_HOU,2919,00-0029682,,00-0029615
2016_01_CHI_HOU,2943,00-0029682,,00-0033127
2016_01_CHI_HOU,2990,,00-0029615,
2016_01_CHI_HOU,3027,,00-0031075,
2016_01_CHI_HOU,3048,,00-0029682,
2016_01_CHI_HOU,3069,00-0029682,,00-0033127
2016_01_CHI_HOU,3091,,00-0029615,
2016_01_CHI_HOU,3112,00-0029682,,00-0033127
2016_01_CHI_HOU,3170,,00-0031569,
2016_01_CHI_HOU,3191,,00-0031569,
2016_01_CHI_HOU,3212,00-0024226,,00-0026182
2016_01_CHI_HOU,3236,,00-0031569,
2016_01_CHI_HOU,3257,00-0024226,,00-0027125
2016_01_CHI_HOU,3281,00-0024226,,
2016_01_CHI_HOU,3335,,00-0029615,
2016_01_CHI_HOU,3356,,00-0029615,
2016_01_CHI_HOU,3377,00-0029682,,00-0033127
2016_01_CHI_HOU,3401,,00-0029615,
2016_01_CHI_HOU,3428,00-0029682,,00-0033127
2016_01_CHI_HOU,3450,00-0029682,,00-0030564
2016_01_CHI_HOU,3513,00-0024226,,00-0026182
2016_01_CHI_HOU,3537,00-0024226,,00-0026182
2016_01_CHI_HOU,3559,00-0024226,,
2016_01_CHI_HOU,3619,,00-0029615,
2016_01_CHI_HOU,3657,,00-0029615,
2016_01_CHI_HOU,3695,00-0029682,,00-0030108
2016_01_CHI_HOU,3736,,00-0029615,
2016_01_CHI_HOU,3774,,00-0029615,
2016_01_CHI_HOU,3795,00-0029682,,00-0033127
2016_01_CHI_HOU,3853,00-0024226,,00-0031545
2016_01_CHI_HOU,3877,00-0024226,,
2016_01_CHI_HOU,3896,00-0024226,,00-0031569
2016_01_CHI_HOU,3920,00-0024226,,00-0031545
2016_01_CHI_HOU,3944,00-0024226,,
2016_01_CHI_HOU,3966,00-0024226,,00-0031569
2016_01_CHI_HOU,3988,00-0024226,,00-0027125
2016_01_CHI_HOU,4010,00-0024226,,00-0031545
2016_01_CIN_NYJ,51,,00-0031301,
2016_01_CIN_NYJ,72,00-0027973,,00-0027942
2016_01_CIN_NYJ,141,00-0027973,,
2016_01_CIN_NYJ,188,00-0023682,,00-0031023
2016_01_CIN_NYJ,209,,00-0023682,
2016_01_CIN_NYJ,230,00-0023682,,00-0026184
2016_01_CIN_NYJ,252,,00-0026184,
2016_01_CIN_NYJ,273,00-0023682,,00-0024334
2016_01_CIN_NYJ,297,,00-0026184,
2016_01_CIN_NYJ,318,00-0023682,,00-0024334
2016_01_CIN_NYJ,340,00-0023682,,00-0026184
2016_01_CIN_NYJ,364,,00-0026184,
2016_01_CIN_NYJ,418,00-0023682,,00-0031023
2016_01_CIN_NYJ,485,00-0027973,,00-0027942
2016_01_CIN_NYJ,510,00-0027973,,
2016_01_CIN_NYJ,529,00-0027973,,00-0032134
2016_01_CIN_NYJ,563,00-0027973,,00-0033009
2016_01_CIN_NYJ,590,00-0023682,,00-0026184
2016_01_CIN_NYJ,616,,00-0026184,
2016_01_CIN_NYJ,637,00-0023682,,
2016_01_CIN_NYJ,708,00-0023682,,00-0024334
2016_01_CIN_NYJ,731,00-0023682,,00-0024334
2016_01_CIN_NYJ,754,00-0023682,,00-0028064
2016_01_CIN_NYJ,814,,00-0031301,
2016_01_CIN_NYJ,836,00-0027973,,00-0032134
2016_01_CIN_NYJ,860,00-0027973,,00-0032134
2016_01_CIN_NYJ,886,,00-0031301,
2016_01_CIN_NYJ,907,00-0027973,,00-0032134
2016_01_CIN_NYJ,971,,00-0026184,
2016_01_CIN_NYJ,999,00-0023682,,00-0031023
2016_01_CIN_NYJ,1023,,00-0026184,
2016_01_CIN_NYJ,1093,00-0023682,,00-0026184
2016_01_CIN_NYJ,1117,00-0023682,,00-0028064
2016_01_CIN_NYJ,1166,00-0027973,,00-0027942
2016_01_CIN_NYJ,1195,,00-0030456,
2016_01_CIN_NYJ,1216,00-0027973,,00-0027681
2016_01_CIN_NYJ,1241,00-0027973,,00-0027942
2016_01_CIN_NYJ,1301,,00-0026184,
2016_01_CIN_NYJ,1322,00-0023682,,00-0026184
2016_01_CIN_NYJ,1377,00-0023682,,00-0027690
2016_01_CIN_NYJ,1410,,00-0026184,
2016_01_CIN_NYJ,1431,00-0023682,,00-0027690
2016_01_CIN_NYJ,1494,00-0027973,,
2016_01_CIN_NYJ,1513,00-0027973,,
2016_01_CIN_NYJ,1532,00-0027973,,00-0030456
2016_01_CIN_NYJ,1584,,00-0026184,
2016_01_CIN_NYJ,1605,,00-0026184,
2016_01_CIN_NYJ,1626,00-0023682,,00-0031023
2016_01_CIN_NYJ,1654,,00-0026184,
2016_01_CIN_NYJ,1675,00-0023682,,00-0028064
2016_01_CIN_NYJ,1700,,00-0026184,
2016_01_CIN_NYJ,1721,00-0023682,,00-0031023
2016_01_CIN_NYJ,1762,00-0023682,,00-0031023
2016_01_CIN_NYJ,1826,00-0027973,,00-0027681
2016_01_CIN_NYJ,1851,00-0027973,,00-0027681
2016_01_CIN_NYJ,1875,,00-0027973,
2016_01_CIN_NYJ,1929,00-0027973,,00-0032134
2016_01_CIN_NYJ,1918,00-0027973,,00-0033009
2016_01_CIN_NYJ,1977,,00-0030456,
2016_01_CIN_NYJ,2031,00-0027973,,00-0027942
2016_01_CIN_NYJ,2060,00-0027973,,00-0027942
2016_01_CIN_NYJ,2094,00-0027973,,
2016_01_CIN_NYJ,2130,00-0027973,,00-0030456
2016_01_CIN_NYJ,2154,00-0027973,,00-0033009
2016_01_CIN_NYJ,2278,,00-0026184,
2016_01_CIN_NYJ,2299,00-0023682,,00-0024334
2016_01_CIN_NYJ,2324,,00-0026184,
