player,gsis_id,bucket,rating_0_100,tier,n_eff
"Kenneth Murray, Jr.",00-0036441,LB,55.8,B,4490
Breece Hall,00-0038120,RB,55.8,B,2154
Andrew Ogletree,00-0037292,TE,55.8,B,935
Audric Estimé,00-0039373,RB,55.8,B,299
Daniel Brunskill,00-0033221,OL,55.7,B,4772
Austin Jackson,00-0036248,OL,55.7,B,3726
Jonah Williams,00-0035944,DL,55.7,B,1406
Nico Collins,00-0036554,WR,55.7,B,3003
Sam Okuayinonu,00-0037602,DL,55.7,B,1134
Jalen Redmond,00-0038778,DL,55.7,B,975
Tarheeb Still,00-0039366,DB,55.7,B,1550
Xavier Woods,00-0033579,DB,55.6,B,7798
Aaron Brewer,00-0036171,OL,55.6,B,4532
Connor Heyward,00-0037304,RB,55.6,B,814
Alvin Kamara,00-0033906,RB,55.5,B,5391
Will Hernandez,00-0034346,OL,55.5,B,5961
Quincy Williams,00-0035680,LB,55.5,B,4940
Tyler Booker,00-0040007,OL,55.5,B,928
Elijah Wilkinson,00-0033676,OL,55.4,B,3922
Jerome Baker,00-0034797,LB,55.4,B,5844
Nolan Smith,00-0039013,LB,55.4,B,1375
Josh Whyle,00-0038589,TE,55.4,B,669
Braelon Allen,00-0039794,RB,55.4,B,322
Logan Wilson,00-0036294,LB,55.3,B,4627
Tyson Campbell,00-0036974,DB,55.3,B,4230
Asante Samuel Jr.,00-0036617,DB,55.3,B,3160
Zion Johnson,00-0037818,OL,55.3,B,4253
Drake Thomas,00-0038922,LB,55.3,B,870
Cole Bishop,00-0039872,DB,55.3,B,1422
Ben Powers,00-0034978,OL,55.2,B,5170
Brandin Echols,00-0036504,DB,55.2,B,1831
Tyler Allgeier,00-0037263,RB,55.2,B,1401
Carl Lawson,00-0033463,DL,55.1,B,2905
Yetur Gross-Matos,00-0036288,DL,55.1,B,2463
Walker Little,00-0036975,OL,55.1,B,2637
DaRon Bland,00-0037275,DB,55.1,B,2760
Laiatu Latu,00-0039340,DL,55.1,B,1313
Jaxson Dart,00-0040691,QB,55.1,B,726
Dennis Gardeck,00-0034473,LB,55.0,B,1557
Jordan Fuller,00-0036431,DB,55.0,B,3419
Kerby Joseph,00-0037667,DB,55.0,B,3187
Michael Penix Jr.,00-0039917,QB,55.0,B,738
Logan Hall,00-0038127,DL,54.9,B,2079
Nick Herbig,00-0038577,LB,54.9,B,1201
Adetomiwa Adebawore,00-0039031,DL,54.9,B,772
DeMarcus Walker,00-0033782,DL,54.8,B,2922
Davon Godchaux,00-0033860,DL,54.8,B,4909
Donte Jackson,00-0034356,DB,54.8,B,5386
Derrick Nnadi,00-0034818,DL,54.8,B,3608
Poona Ford,00-0034234,DL,54.8,B,4230
Teair Tart,00-0036181,DL,54.8,B,2164
DeMario Douglas,00-0038621,WR,54.8,B,1447
Jonathan Bullard,00-0033093,DL,54.7,B,3393
Robbie Chosen,00-0032688,WR,54.7,B,5377
D.J. Humphries,00-0032222,OL,54.7,B,6260
Julian Blackmon,00-0036253,DB,54.7,B,4013
Cesar Ruiz,00-0036408,OL,54.7,B,5279
Kenny Gainwell,00-0036919,RB,54.7,B,1957
Garett Bolles,00-0033538,OL,54.6,B,8334
Rasul Douglas,00-0033551,DB,54.5,B,6666
Johnny Mundt,00-0033246,TE,54.5,B,1872
Taron Johnson,00-0034376,DB,54.5,B,6174
Marcus Epps,00-0034993,DB,54.5,B,3594
Bryan Bresee,00-0038995,DL,54.5,B,1798
Cade Stover,00-0039359,TE,54.5,B,730
Troy Franklin,00-0039868,WR,54.5,B,1031
Jalen Coker,00-0039491,WR,54.5,B,889
Tyler Shough,00-0040743,QB,54.5,B,575
Von Miller,00-0027940,LB,54.4,B,5558
Sebastian Joseph-Day,00-0034810,DL,54.4,B,3461
Joseph Ossai,00-0036902,DL,54.4,B,1682
A'Shawn Robinson,00-0032889,DL,54.3,B,4971
Terrell Edmunds,00-0034858,DB,54.3,B,5266
Mike Hughes,00-0034843,DB,54.3,B,3640
Cole Van Lanen,00-0036655,OL,54.3,B,898
Payne Durham,00-0039050,TE,54.3,B,882
Paris Johnson Jr.,00-0038540,OL,54.2,B,2639
Andrus Peat,00-0032203,OL,54.1,B,5951
Jameis Winston,00-0031503,QB,54.1,B,4790
Devin Bush,00-0035525,LB,54.1,B,4007
Antonio Gibson,00-0036328,RB,54.1,B,2298
Bhayshul Tuten,00-0040719,RB,54.1,B,218
Dalton Risner,00-0035702,OL,54.0,B,5564
Nick Cross,00-0037616,DB,54.0,B,2547
Quinton Jefferson,00-0032416,DL,53.9,B,3883
Jamal Adams,00-0033872,LB,53.9,B,5582
Foley Fatukasi,00-0034275,DL,53.9,B,2642
Mack Wilson,00-0035144,LB,53.9,B,3153
James Pierre,00-0035795,DB,53.9,B,1268
Michael Carter II,00-0036501,DB,53.9,B,2568
Zyon McCollum,00-0037268,DB,53.9,B,2872
Jordan Whittington,00-0039751,WR,53.9,B,735
Geno Smith,00-0030565,QB,53.8,B,4076
Cam Robinson,00-0033889,OL,53.8,B,6759
Taylor Moton,00-0033284,OL,53.8,B,7977
Dan Moore Jr.,00-0036869,OL,53.8,B,5104
Naquan Jones,00-0036695,DL,53.8,B,1110
Michael Wilson,00-0038559,WR,53.8,B,2328
Matt Goncalves,00-0039736,OL,53.8,B,1489
Denzel Perryman,00-0032103,LB,53.7,B,4385
Chris Hubbard,00-0029963,OL,53.7,B,4079
Austin Corbett,00-0034261,OL,53.7,B,5123
Jalen Thompson,00-0035705,DB,53.7,B,5518
Luke Farrell,00-0036887,TE,53.7,B,1507
Devaughn Vele,00-0039424,WR,53.7,B,863
Tanoh Kpassagnon,00-0033902,DL,53.6,B,2934
T.J. Edwards,00-0035386,LB,53.6,B,4956
Tyler Guyton,00-0039341,OL,53.6,B,1225
James Pearce Jr.,00-0040578,DL,53.6,B,561
Miles Sanders,00-0035243,RB,53.5,B,2996
Akeem Davis-Gaither,00-0036298,LB,53.5,B,2046
DeAndre Hopkins,00-0030564,WR,53.4,B,7867
Trey Pipkins,00-0035688,OL,53.4,B,4312
Ty Okada,00-0038765,DB,53.4,B,750
Sterling Shepard,00-0032385,WR,53.3,B,5269
Tyrell Shavers,00-0038679,WR,53.3,B,470
Trent Sherfield,00-0034487,WR,53.2,B,2349
