nhl_game_id,team,is_home,pp_xgf,pp_shots
2013020913,NJD,1,0.584,4
2013020913,SJS,0,0.0044,1
2013020914,FLA,0,3.6448,10
2013020914,NYI,1,0.8474,14
2013020915,OTT,0,0.4014,3
2013020915,VAN,1,0.4609,7
2013020916,NYR,1,0.7213,8
2013020917,COL,1,0.8734,9
2013020917,TBL,0,0.0133,1
2013020918,ARI,1,0.3906,4
2013020918,STL,0,0.4604,9
2013020919,ANA,1,0.4518,6
2013020919,CAR,0,0.4412,11
2013020920,TOR,1,0.5831,6
2013020921,BUF,0,0.0207,3
2013020921,DAL,1,1.1074,18
2013020922,CGY,0,0.0058,1
2013020922,MIN,1,0.5693,8
2013020923,LAK,1,1.5726,11
2013020923,MTL,0,0.0412,6
2013020924,BOS,1,0.4149,6
2013020924,FLA,0,0.0131,1
2013020925,DET,0,1.2206,9
2013020925,NJD,1,0.7289,4
2013020926,CBJ,1,0.2344,3
2013020926,DAL,0,0.8396,7
2013020927,CHI,1,0.542,8
2013020927,COL,0,0.6132,4
2013020928,STL,1,0.306,6
2013020928,TBL,0,0.769,6
2013020929,NSH,1,0.4386,7
2013020929,PIT,0,0.5807,9
2013020930,NYI,0,0.0471,3
2013020930,WPG,1,0.8985,11
2013020931,ARI,1,0.7466,8
2013020932,EDM,1,0.4436,3
2013020932,OTT,0,0.0104,2
2013020933,CAR,0,0.0344,2
2013020934,NYR,1,0.4834,5
2013020934,TOR,0,0.0133,1
2013020935,PHI,1,0.3953,5
2013020935,WSH,0,1.8691,7
2013020936,CGY,1,0.9795,12
2013020936,OTT,0,2.8666,8
2013020937,ANA,1,1.7453,21
2013020937,MTL,0,0.1054,8
2013020939,LAK,0,0.6551,16
2013020939,WPG,1,0.0117,1
2013020940,COL,0,0.0203,1
2013020940,DET,1,0.2354,2
2013020941,BUF,0,0.0089,1
2013020941,TBL,1,0.1905,2
2013020942,CBJ,0,0.0424,6
2013020942,CHI,1,0.3406,6
2013020943,NSH,1,0.1759,3
2013020943,STL,0,0.0369,3
2013020944,DAL,1,0.4864,6
2013020944,VAN,0,2.0877,13
2013020945,ARI,1,0.502,7
2013020945,MTL,0,0.65,7
