date,away_nick,home_nick,p_away,p_home,captured
2021-04-08,Mariners,Twins,0.41100000000000003,0.589,live
2021-04-08,Marlins,Mets,0.405,0.595,live
2021-04-08,Diamondbacks,Rockies,0.5479999999999999,0.452,live
2021-04-08,Cubs,Pirates,0.5710000000000001,0.429,live
2021-04-08,Brewers,Cardinals,0.46,0.54,live
2021-04-09,Yankees,Rays,0.546,0.45399999999999996,live
2021-04-09,Athletics,Astros,0.424,0.5760000000000001,live
2021-04-10,Yankees,Rays,0.561,0.439,live
2021-04-10,Mariners,Twins,0.345,0.655,live
2021-04-10,Brewers,Cardinals,0.442,0.5579999999999999,live
2021-04-10,Reds,Diamondbacks,0.579,0.42100000000000004,live
2021-04-11,Reds,Diamondbacks,0.564,0.436,live
2021-04-11,Red Sox,Orioles,0.47100000000000003,0.529,live
2021-04-11,Phillies,Braves,0.48100000000000004,0.519,live
2021-04-12,Rangers,Rays,0.39399999999999996,0.606,live
2021-04-13,Mariners,Orioles,0.44799999999999995,0.552,live
2021-04-13,Rangers,Rays,0.397,0.603,live
2021-04-13,Mariners,Orioles,0.473,0.527,live
2021-04-13,Athletics,Diamondbacks,0.502,0.498,live
2021-04-14,Rangers,Rays,0.41100000000000003,0.589,live
2021-04-14,Tigers,Astros,0.371,0.629,live
2021-04-15,Mariners,Orioles,0.45899999999999996,0.541,live
2021-04-15,Mariners,Orioles,0.465,0.535,live
2021-04-15,Rangers,Rays,0.4,0.6,live
2021-04-16,Guardians,Reds,0.43799999999999994,0.562,live
2021-04-16,Diamondbacks,Nationals,0.442,0.5579999999999999,live
2021-04-17,Diamondbacks,Nationals,0.455,0.545,live
2021-04-17,Rays,Yankees,0.42700000000000005,0.573,live
2021-04-17,Guardians,Reds,0.45299999999999996,0.547,live
2021-04-17,Astros,Mariners,0.536,0.46399999999999997,live
2021-04-18,Astros,Mariners,0.488,0.512,live
2021-04-18,Rays,Yankees,0.35700000000000004,0.643,live
2021-04-18,Astros,Mariners,0.506,0.494,live
2021-04-18,White Sox,Red Sox,0.517,0.483,live
2021-04-18,Diamondbacks,Nationals,0.42700000000000005,0.573,live
2021-04-18,Guardians,Reds,0.501,0.499,live
2021-04-20,Dodgers,Mariners,0.647,0.353,live
2021-04-21,Rays,Royals,0.519,0.48100000000000004,live
2021-04-21,Diamondbacks,Reds,0.38,0.62,live
2021-04-22,Rays,Royals,0.462,0.5379999999999999,live
2021-04-23,Blue Jays,Rays,0.413,0.5870000000000001,live
2021-04-23,Diamondbacks,Braves,0.46399999999999997,0.536,live
2021-04-23,Mariners,Red Sox,0.44299999999999995,0.557,live
2021-04-24,Mariners,Red Sox,0.415,0.585,live
2021-04-25,Diamondbacks,Braves,0.475,0.525,live
2021-04-25,Blue Jays,Rays,0.499,0.501,live
2021-04-27,Athletics,Rays,0.534,0.466,live
2021-04-27,Mariners,Astros,0.45299999999999996,0.547,live
2021-04-28,Mariners,Astros,0.405,0.595,live
2021-04-28,Athletics,Rays,0.43200000000000005,0.568,live
2021-04-29,Mariners,Astros,0.373,0.627,live
