game_id,team,st_epa_for,n_for,st_epa_against,n_against,fx_epa_for,fx_n_for,fx_epa_against,fx_n_against
1999_08_JAX_CIN,CIN,2.296631,12,4.316212,4,0.431031,2,1.538034,7
1999_08_JAX_CIN,JAX,4.316212,4,2.296631,12,1.538034,7,0.431031,2
1999_08_MIA_OAK,LV,-3.411396,13,2.239698,10,4.754098,3,-0.945101,5
1999_08_MIA_OAK,MIA,2.239698,10,-3.411396,13,-0.945101,5,4.754098,3
1999_08_MIN_DEN,DEN,1.968476,10,0.824403,10,-2.407284,3,0.202089,3
1999_08_MIN_DEN,MIN,0.824403,10,1.968476,10,0.202089,3,-2.407284,3
1999_08_NE_ARI,ARI,5.849340,14,0.031341,12,0.174999,1,-0.877442,4
1999_08_NE_ARI,NE,0.031341,12,5.849340,14,-0.877442,4,0.174999,1
1999_08_NYG_PHI,NYG,3.694074,13,4.095826,9,-2.978134,4,-3.095016,5
1999_08_NYG_PHI,PHI,4.095826,9,3.694074,13,-3.095016,5,-2.978134,4
1999_08_SD_KC,KC,2.796500,8,5.136289,15,2.874252,6,0.000000,0
1999_08_SD_KC,LAC,5.136289,15,2.796500,8,0.000000,0,2.874252,6
1999_08_SEA_GB,GB,8.963192,12,1.633217,10,0.030639,1,0.467694,5
1999_08_SEA_GB,SEA,1.633217,10,8.963192,12,0.467694,5,0.030639,1
1999_08_STL_TEN,LA,5.276467,12,1.734555,13,-3.614234,5,0.374532,4
1999_08_STL_TEN,TEN,1.734555,13,5.276467,12,0.374532,4,-3.614234,5
1999_08_TB_DET,DET,1.356017,8,0.661088,9,3.876347,4,-2.641961,2
1999_08_TB_DET,TB,0.661088,9,1.356017,8,-2.641961,2,3.876347,4
1999_09_ARI_NYJ,ARI,-2.459419,14,2.080934,8,0.030639,1,-3.303761,4
1999_09_ARI_NYJ,NYJ,2.080934,8,-2.459419,14,-3.303761,4,0.030639,1
1999_09_BAL_CLE,BAL,2.741325,7,9.957782,16,1.752867,6,-0.760798,2
1999_09_BAL_CLE,CLE,9.957782,16,2.741325,7,-0.760798,2,1.752867,6
